01.MHAa42e1.seq	WC-76
01.MHAa43c1.seq	WC-331
01.MHAa56e1.seq	WC-312
01.MHAa98e1.seq	WC-1068
01.MMHAP12FLA1.seq	WC-583
01.MMHAP20FRA7.seq	WC-1592
01.MMHAP25FRA7.seq	WC-1448
01.MMHAP26FRA7.seq	WC-139
01.MMHAP28FLA1.seq	WC-1012
01.MMHAP28FRA7.seq	WC-1510
01.MMHAP32FLA1.seq	WC-1243
01.MMHAP33FRA7.seq	WC-756
01.mHAa9f1.seq	WC-937
02.MHAa50e2.seq	WC-1610
02.MHAa56e2.seq	WC-940
02.MHAa64e2.seq	WC-53
02.MHAa89e2.seq	WC-1555
02.MHAa92a2.seq	WC-1312
02.MHAa92e2.seq	WC-1472
02.MMHAP11FLA2.seq	WC-1197
02.MMHAP11FRA8.seq	WC-1247
02.MMHAP24FRA8.seq	WC-210
02.MMHAP26FLA2.seq	WC-268
02.MMHAP28FRA8.seq	WC-178
02.MMHAP29FLA2.seq	WC-65
02.MMHAP32FLA2.seq	WC-88
02.mHAa3d2.seq	WC-831
03.E1_9_6_95.seq	WC-191
03.MHAa60T.seq	WC-1343
03.MHAa75a3.seq	WC-57
03.MHAa89e3.seq	WC-890
03.MHAa92e3.seq	WC-1184
03.MHAa96a3.seq	WC-449
03.MMHAP12FRA9.seq	WC-300
03.MMHAP23FLA3.seq	WC-1549
03.MMHAP24FLA3.seq	WC-1604
03.MMHAP26FRA9.seq	WC-1638
03.MMHAP27FRA9.seq	WC-650
03.MMHAP28FRA9.seq	WC-1295
03.mHAa9f3.seq	WC-658
03.mhaa80e.seq	WC-693
04.MHAa43c4.seq	WC-1064
04.MHAa63a4.seq	WC-1326
04.MHAa92e4.seq	WC-958
04.MHAa93e4.seq	WC-59
04.MHAa98e4.seq	WC-803
04.MMHAP12FRB7.seq	WC-237
04.MMHAP14FLB1.seq	WC-693
04.MMHAP20FRB7.seq	WC-30
04.MMHAP24FLB1.seq	WC-419
04.MMHAP25FLB1.seq	WC-613
04.MMHAP27FLB1.seq	WC-1219
04.MMHAP27FRB7.seq	WC-1186
04.MMHAP28FRB7.seq	WC-1357
04.MMHAP31FLB1.seq	WC-1162
05.MHAa56e5.seq	WC-1361
05.MHAa63a5.seq	WC-192
05.MMHAP12FLB2.seq	WC-737
05.MMHAP12FRB8.seq	WC-650
05.MMHAP14FLB2.seq	WC-326
05.MMHAP20FRB8.seq	WC-1250
05.MMHAP25FLB2.seq	WC-58
05.MMHAP25FRB8.seq	WC-205
05.MMHAP26FLB2.seq	WC-1667
05.MMHAP27FRB8.seq	WC-1139
05.MMHAP28FLB2.seq	WC-205
05.MMHAP28FRB8.seq	WC-175
05.MMHAP29FLB2.seq	WC-1348
05.MMHAP31FLB2.seq	WC-460
05.mHAa7h5.seq	WC-1302
06.MHAa63a6.seq	WC-217
06.MHAa81T_M13Rev.seq	WC-549
06.MMHAP10FRB9.seq	WC-229
06.MMHAP14FLB3.seq	WC-620
06.MMHAP14FRB9.seq	WC-1364
06.MMHAP23FLB3.seq	WC-365
06.MMHAP24FRB9.seq	WC-300
06.MMHAP25FLB3.seq	WC-999
06.MMHAP25FRB9.seq	WC-71
06.MMHAP32FLB3.seq	WC-1154
06.mHAa7h6.seq	WC-1493
07.MHAa43c7.seq	WC-552
07.MHAa50e7.seq	WC-317
07.MHAa52e7.seq	WC-1634
07.MHAa59a7.seq	WC-1534
07.MHAa64e7.seq	WC-1026
07.MHAa92e7.seq	WC-1370
07.MHAa93e7.seq	WC-1683
07.MMHAP12FRC7.seq	WC-1491
07.MMHAP24FLC1.seq	WC-1098
07.MMHAP27FLC1.seq	WC-660
07.MMHAP28FRC7.seq	WC-334
07.MMHAP29FLC1.seq	WC-1661
07.mHAa3d7.seq	WC-1559
07.mHAa9f7.seq	WC-549
08.E1_9_6_95.seq	WC-637
08.MHAa26T.seq	WC-1656
08.MHAa46e8.seq	WC-1625
08.MHAa61B.seq	WC-441
08.MHAa89e8.seq	WC-230
08.MHAa92a8.seq	WC-871
08.MHAa96a8.seq	WC-1170
08.MMHAP12FRC8.seq	WC-139
08.MMHAP23FRC8.seq	WC-728
08.MMHAP24FRC8.seq	WC-855
08.MMHAP25FLC2.seq	WC-1424
08.MMHAP27FRC8.seq	WC-872
08.MMHAP28FRC8.seq	WC-1203
08.MMHAP29FLC2.seq	WC-1592
08.MMHAP29FRC8.seq	WC-1343
08.mHAa9f8.seq	WC-1575
09.MHAa55e9.seq	WC-566
09.MHAa56e9.seq	WC-934
09.MHAa77a9.seq	WC-256
09.MMHAP11FLC3.seq	WC-350
09.MMHAP12FRC9.seq	WC-1581
09.MMHAP14FLC3.seq	WC-1032
