01.MHAa42e1.seq	WC9.14
01.MHAa43c1.seq	WC13.36
01.MHAa56e1.seq	WC17.10
01.MHAa98e1.seq	WCX.26
01.MMHAP12FLA1.seq	WC16.7
01.MMHAP17FA1.seq	WC3.16
01.MMHAP18FRA7.seq	WC6.11
01.MMHAP20FRA7.seq	WC10.6
01.MMHAP25FRA7.seq	WC8.4
01.MMHAP26FRA7.seq	WC2.45
01.MMHAP27FRA7.seq	WC9.0
01.MMHAP28FLA1.seq	WC15.23
01.MMHAP32FLA1.seq	WC2.2
01.MMHAP33FRA7.seq	WC18.27
01.MMHAP36FRA7.seq	WCX.33
01.MMHAP38FLA1.seq	WC16.11
01.MMHAP42FRA7.seq	WCX.32
01.MMHAP47FLA1.seq	WC18.30
01.MMHAP50FLA1.seq	WC3.42
01.MMHAP53FLA1.seq	WC11.34
01.MMHAP54FLA1.seq	WC2.35
01.MMHAP57FRA7.seq	WC6.12
01.MMHAP58FLA1.seq	WCX.28
01.MMHAP59FRA7.seq	WC11.14
01.MMHAP62FLA1.seq	WC18.30
01.MMHAP62FRA7.seq	WC13.17
01.MMHAP63FLA1.seq	WC6.5
01.MMHAP63FRA7.seq	WC18.31
01.MMHAP64FLA1.seq	WC1.71
01.MMHAP67FLA1.seq	WC18.17
01.MMHAP69FLA1.seq	WC6.7
01.MMHAP6FLA1.seq	WC2.44
01.MMHAP6FRA7.seq	WC19.2
01.MMHAP71FRA7.seq	WC4.38
01.MMHAP76FLA1.seq	WC15.35
01.MMHAP84FRA7.seq	WC3.22
01.MMHAP85FRA7.seq	WC17.16
01.MMHAP88FLA1.seq	WC7.6
01.MMHAP88FRA7.seq	WC1.39
01.MMHAP8FRA7.seq	WC3.46
01.MMHAP90FLA1.seq	WC1.31
01.MMHAP90FRA7.seq	WC9.36
01.MMHAP93FRA7.seq	WC1.14
01.MMHAP95FRA7.seq	WC11.14
01.MMHAP96FRA7.seq	WC6.14
01.MMHAP97FRA7.seq	WC13.39
01.MMHAP9FLA1.seq	WC1.33
01.mHAa9f1.seq	WC16.6
02.MHAa50e2.seq	WCX.41
02.MHAa56e2.seq	WC6.12
02.MHAa64e2.seq	WC3.16
02.MHAa89e2.seq	WC13.33
02.MHAa92a2.seq	WC6.30
02.MHAa92e2.seq	WC12.27
02.MMHAP11FLA2.seq	WC11.18
02.MMHAP11FRA8.seq	WC16.23
02.MMHAP15FLA2.seq	WC6.20
02.MMHAP15FRA8.seq	WC1.64
02.MMHAP16FLA2.seq	WC9.1
02.MMHAP16FRA8.seq	WC14.39
02.MMHAP17FA2.seq	WC15.27
02.MMHAP19FRA8.seq	WC4.3
02.MMHAP26FLA2.seq	WC8.27
02.MMHAP26FRA8.seq	WC11.29
02.MMHAP29FLA2.seq	WC1.33
02.MMHAP32FLA2.seq	WC10.50
02.MMHAP35FLA2.seq	WC8.19
02.MMHAP35FRA8.seq	WC1.45
02.MMHAP36FLA2.seq	WC16.25
02.MMHAP37FLA2.seq	WC4.39
02.MMHAP4FRA8.seq	WC8.36
02.MMHAP56FRA8.seq	WC4.12
02.MMHAP5FLA2.seq	WC11.12
02.MMHAP62FLA2.seq	WC12.7
02.MMHAP63FLA2.seq	WC9.4
02.MMHAP63FRA8.seq	WC1.3
02.MMHAP64FRA8.seq	WC15.17
02.MMHAP66FLA2.seq	WC7.43
02.MMHAP67FRA8.seq	WC2.40
02.MMHAP6FLA2.seq	WC7.35
02.MMHAP76FLA2.seq	WC8.28
02.MMHAP81FRA8.seq	WC13.14
02.MMHAP84FLA2.seq	WCX.8
02.MMHAP85FRA8.seq	WC18.4
02.MMHAP86FRA8.seq	WC15.3
02.MMHAP88FLA2.seq	WC11.15
02.MMHAP90FLA2.seq	WC19.18
02.MMHAP91FRA8.seq	WC16.37
02.MMHAP94FLA2.seq	WC2.15
02.MMHAP94FRA8.seq	WC5.61
02.MMHAP95FRA8.seq	WC7.43
02.MMHAP9FLA2.seq	WCX.42
02.MMHAP9FRA8.seq	WC2.12
02.mHAa3d2.seq	WC7.43
03.E1_9_6_95.seq	WC12.7
03.MHAa60T.seq	WC10.17
03.MHAa75a3.seq	WC7.38
03.MHAa89e3.seq	WC1.36
03.MHAa92e3.seq	WC2.2
03.MHAa96a3.seq	WC7.40
03.MMHAP11FLA3.seq	WC10.11
03.MMHAP12FRA9.seq	WC5.18
03.MMHAP15FLA3.seq	WC6.36
03.MMHAP15FRA9.seq	WC12.12
03.MMHAP16FRA9.seq	WC18.1
03.MMHAP23FLA3.seq	WC17.19
03.MMHAP24FLA3.seq	WC19.26
03.MMHAP26FRA9.seq	WC1.15
03.MMHAP27FRA9.seq	WC8.15
03.MMHAP28FRA9.seq	WC11.35
03.MMHAP34FRA9.seq	WC11.6
03.MMHAP35FLA3.seq	WC11.14
03.MMHAP35FRA9.seq	WC15.25
03.MMHAP36FLA3.seq	WC1.27
03.MMHAP37FLA3.seq	WC15.11
03.MMHAP38FRA9.seq	WC16.34
03.MMHAP4FRA9.seq	WC15.33
03.MMHAP50FLA3.seq	WC9.15
03.MMHAP54FRA9.seq	WC6.49
03.MMHAP61FLA3.seq	WC8.36
03.MMHAP62FLA3.seq	WC3.26
03.MMHAP63FLA3.seq	WC11.27
03.MMHAP64FLA3.seq	WC11.5
03.MMHAP64FRA9.seq	WC5.61
03.MMHAP6FLA3.seq	WC7.18
03.MMHAP70FRA9.seq	WC15.11
03.MMHAP76FLA3.seq	WC14.26
03.MMHAP81FRA9.seq	WC2.37
03.MMHAP83FLA3.seq	WC7.24
03.MMHAP85FLA3.seq	WC1.1
03.MMHAP86FRA9.seq	WC6.9
03.MMHAP88FRA9.seq	WCX.44
03.MMHAP8FRA9.seq	WC8.39
03.MMHAP94FLA3.seq	WC19.11
03.MMHAP94FRA9.seq	WC1.32
