01.MMHAP28FLA1.seq	WC-724
01.mHAa9f1.seq	WC-290
02.MHAa56e2.seq	WC-1014
02.MHAa64e2.seq	WC-737
02.MHAa89e2.seq	WC-1015
02.MHAa92a2.seq	WC-119
02.MHAa92e2.seq	WC-1099
02.mHAa3d2.seq	WC-45
03.MHAa60T.seq	WC-1127
03.MHAa75a3.seq	WC-741
03.MHAa89e3.seq	WC-158
03.MHAa92e3.seq	WC-395
03.MHAa96a3.seq	WC-676
03.MMHAP28FRA9.seq	WC-229
03.mHAa9f3.seq	WC-443
03.mhaa80e.seq	WC-779
04.MHAa63a4.seq	WC-823
04.MHAa92e4.seq	WC-152
04.MHAa93e4.seq	WC-452
04.MHAa98e4.seq	WC-1187
04.MMHAP28FRB7.seq	WC-219
05.MHAa56e5.seq	WC-380
05.MMHAP28FLB2.seq	WC-1036
05.MMHAP28FRB8.seq	WC-705
05.mHAa7h5.seq	WC-858
06.MHAa81T_M13Rev.seq	WC-575
06.mHAa7h6.seq	WC-595
07.MHAa59a7.seq	WC-139
07.MHAa64e7.seq	WC-525
07.MHAa92e7.seq	WC-234
07.MMHAP28FRC7.seq	WC-57
07.mHAa3d7.seq	WC-1248
07.mHAa9f7.seq	WC-575
08.E1_9_6_95.seq	WC-510
08.MHAa26T.seq	WC-1236
08.MHAa89e8.seq	WC-413
08.MHAa92a8.seq	WC-383
08.MMHAP28FRC8.seq	WC-528
08.mHAa9f8.seq	WC-1157
09.MHAa55e9.seq	WC-398
09.MHAa77a9.seq	WC-182
09.MMHAP28FLC3.seq	WC-762
10.G1_8_30_95a79B.seq	WC-495
10.MHAa55e10.seq	WC-750
10.MHAa63e10.seq	WC-628
10.MHAa64e10.seq	WC-762
10.MHAa65T_M13Rev.seq	WC-841
10.MHAa79T.seq	WC-1023
10.MHAa89e10.seq	WC-50
10.MHAa90a10.seq	WC-1248
10.MHAa91e10.seq	WC-478
10.MHAa95a10.seq	WC-998
10.MHAa96a10.seq	WC-614
10.MHAa98e10.seq	WC-241
10.MMHAP28FLD1.seq	WC-52
10.mHAa9f10.seq	WC-938
11.G1_8_30_95a79B.seq	WC-129
11.MHAa49a11.seq	WC-1150
11.MHAa92e11.seq	WC-435
11.MHAa93e11.seq	WC-1109
11.MMHAP28FRD8.seq	WC-573
11.mHAa7h11.seq	WC-627
12.MHAa90a12.seq	WC-1119
12.MMHAP28FLD3.seq	WC-967
12.MMHAP28FRD9.seq	WC-1264
13.MHAa56f1.seq	WC-919
13.MMHAP28FLE1.seq	WC-645
13.MMHAP28FRE7.seq	WC-1038
14.MHAa59b2.seq	WC-822
14.MHAa62T.seq	WC-1088
14.MHAa63f2.seq	WC-743
14.MHAa64f2.seq	WC-828
14.MMHAP28FRE8.seq	WC-813
15.E1_9_6_95.seq	WC-651
15.MHAa10f3.seq	WC-850
15.MHAa56f3.seq	WC-507
15.MHAa64f3.seq	WC-10
15.MHAa92b3.seq	WC-270
15.MHAa98f3.seq	WC-1038
15.MMHAP28FLE3.seq	WC-86
15.MMHAP28FRE9.seq	WC-585
16.MHAa75b4.seq	WC-925
16.MHAa95b4.seq	WC-310
16.MMHAP28FLF1.seq	WC-123
17.MHAa39B.seq	WC-383
17.MHAa58b5.seq	WC-618
17.MHAa75b5.seq	WC-570
17.MHAa92b5.seq	WC-271
17.MMHAP28FLF2.seq	WC-450
18.MHAa47b6.seq	WC-67
18.MHAa55T.seq	WC-829
18.MHAa90b6.seq	WC-563
18.MMHAP28FRF9.seq	WC-464
18.mHAa3b6.seq	WC-537
19.MHAa58b7.seq	WC-622
19.MHAa91f7.seq	WC-278
19.MMHAP28FRG7.seq	WC-594
19.mHAa3e7.seq	WC-571
19.mHAa9g7.seq	WC-1174
20.MHAa10f8.seq	WC-329
20.MHAa65T_M13Rev.seq	WC-411
20.MHAa89f8.seq	WC-750
20.MHAa90f8.seq	WC-1252
20.MHAa93f8.seq	WC-925
20.MMHAP28FLG2.seq	WC-593
20.MMHAP28FRG8.seq	WC-813
21.MHAa10f9.seq	WC-1083
21.MHAa52f9.seq	WC-1032
21.MHAa90f9.seq	WC-774
21.MHAa93f9.seq	WC-84
21.MHAa98f9.seq	WC-1021
21.MMHAP28FLG3.seq	WC-749
21.MMHAP28FRG9.seq	WC-711
22.MHAa55f10.seq	WC-1017
22.MHAa58b10.seq	WC-433
22.MHAa90f10.seq	WC-129
22.MMHAP28FLH1.seq	WC-688
22.MMHAP28FRH7.seq	WC-420
22.mHAa3b10.seq	WC-1001
22.mHAa3e10.seq	WC-527
23.MHAa89f11.seq	WC-407
23.MHAa90f11.seq	WC-439
23.MHAa92f11.seq	WC-69
23.MMHAP28FRH8.seq	WC-326
23.mHAa8a11.seq	WC-869
24.MHAa55f12.seq	WC-224
24.MHAa58b12.seq	WC-1054
24.MHAa81T_M13Rev.seq	WC-457
