Locus	Assay	Chrom	Genetic Position	Contig	Yacs
	MHAa70f3.seq				410_H_4 432_G_7 435_D_9
	29.MHAa26T.seq				150_G_4 162_A_1 177_A_4 177_G_3 433_F_9 441_H_9
	12.MMHAP28FLD3.seq			WC6.44	151_G_5 153_F_2 213_D_12 287_F_12 311_E_4
	28.MHAa62T.seq				159_B_10 160_G_11 344_A_3
	08.E1_9_6_95.seq			WC14.18	121_D_8 281_H_3 326_D_11 377_E_6 419_B_6 434_E_12 436_H_3 458_B_9
	21.MHAa93f9.seq			WC18.26	133_A_7 138_C_11 165_E_11 167_A_9 281_D_2 328_B_7 384_B_3 403_G_3 403_H_3 418_F_5 435_F_7 440_B_12 461_D_4
	37.MHAa63d1.seq			WC6.13	139_A_7 240_H_3 406_H_5 412_C_2 435_G_10 439_B_11
	44.MHAa42h8.seq			WC19.20	114_C_10 255_C_4 334_H_3 395_F_12 403_H_6 417_F_5
	43.G1_8_30_95a79B.seq			WC4.19	123_B_9 402_C_2 450_E_11
	34.mHAa3f10.seq				134_H_6 183_F_5 406_E_3 415_D_8 443_H_9 450_H_11 452_A_6 460_F_8
	20.MHAa90f8.seq			WC4.0	160_D_9 286_D_8 302_H_2 307_A_7 321_F_6 417_G_9 443_C_9 446_F_3 451_E_11
	MHAa88f11.seq			WC2.39	115_B_7 115_B_9 121_E_2 299_F_1 348_D_8 410_E_3 417_C_8 433_A_11
	MT1034			WC4.15	144_F_4 215_F_11 288_A_11 352_C_11 379_H_11 409_G_8 443_H_3 456_F_9
	MHAa67a12.seq			WC6.8	124_G_12 149_D_11 286_A_12 310_A_3 332_G_3 334_D_12 384_G_10 393_G_3 434_D_6 460_H_3
	26.E1_9_6_95.seq				162_A_6 171_B_6 256_C_2 303_G_9 320_G_7 435_F_1 442_F_8
	MHAa83c12.seq			WC7.12	125_A_7 162_C_7 178_A_5 302_H_10 307_A_10 311_H_6 334_G_1 344_C_9 361_B_7 385_D_7 385_D_8 387_F_7 408_D_3 410_C_7 433_G_2 435_H_4 447_F_10 449_C_2 451_F_5 87_B_8
	MHAa21b4.seq			WC13.5	165_D_8 308_D_11 352_B_3 439_E_3
	MHAa47e10.seq			WC1.59	115_C_11 116_A_12 123_D_11 217_B_12 403_A_1 414_C_8
	MHAa53b7.seq				134_C_5
	21.MMHAP28FRG9.seq			WC15.9	120_G_1 122_D_2 274_H_11 287_H_6 402_F_7 456_A_12
	MHAa7b7.seq			WC8.28	312_C_10 313_G_12 352_G_1 453_A_10 458_G_2 463_D_4
	MHAa28h6.seq			WC10.16	123_B_8 134_E_3 214_E_10 301_F_10 345_F_2 377_A_2 408_B_8 414_G_12 417_C_11 439_A_5 451_F_7
	MHAa84f4.seq				188_F_8 282_A_6 351_D_6 375_A_11 388_A_9 410_C_4 87_A_8
	23.MHAa92f11.seq				136_H_12 165_D_2 212_D_3 277_D_12 289_B_10 385_H_7 393_H_12 405_F_11 405_F_9 411_H_4 451_H_9
	MHAa97a4.seq			WC12.21	115_A_1 120_A_1 163_A_1 223_A_1 223_F_8 285_A_1 296_A_1 317_A_1 321_A_1 376_A_1 388_A_1 431_A_1 440_G_2 446_A_1 87_A_1
	38.MHAa96d2.seq				152_B_5 285_H_9 328_E_10 356_F_1 457_E_7 457_H_1
	MHAa33c6.seq			WC19.21	121_F_1 128_B_2 215_F_7 377_E_3 377_F_11 387_G_1 446_F_5
	MTH1959			WC3.24	135_G_10 173_E_11 181_A_7 240_G_7 306_F_5 311_B_7 312_G_7 316_G_5 321_G_11 392_E_9 414_C_12 419_G_11 439_C_5 439_C_7 447_H_8 455_A_8
	mHAa21e8.seq			WC17.15	187_C_1 199_F_8 285_C_3 380_H_3 451_D_5
	MHAa42c9.seq				177_E_7 287_F_12
	12.MHAa90a12.seq			WC18.23	156_G_7 325_D_6 356_A_5 380_F_3
