Locus	Assay	Chrom	Genetic Position	Contig	Yacs
	X77241			WC11.15	133_A_4 184_B_10 184_G_11 317_C_5 319_C_4 319_D_2 386_F_3
	MHAa22e11.seq			WC15.9	110_D_12 126_G_8 132_A_5 148_G_2 149_A_7 378_H_12 405_G_1
	U33958			WC6.10	121_G_8 144_H_12 150_D_11 172_E_4 215_B_11 301_C_9 301_F_9 329_A_11 384_G_10 393_H_7 395_C_1 410_G_10 430_D_11 433_B_3
	X92590			WC16.8	181_B_4 425_F_2 426_F_2 433_H_11 455_H_8 461_A_2
	X59421			WC9.9	118_H_10 160_H_11 334_D_4 464_G_9
	28.MHAa62T.seq				159_B_10 160_G_11 344_A_3
	40.MHAa89h4.seq			WC2.45	114_F_8 114_G_7 114_G_8 141_D_7 158_E_4 172_D_12 198_G_1 266_C_8 277_D_12 390_E_4 392_D_4 463_G_1
	U18366				342_G_3
	MHAa81e1.seq			WC14.38	114_E_4 133_A_6 156_H_11 188_D_9 212_C_10 419_H_9 464_H_3
	X92592			WC9.25	350_H_10 385_A_2 396_H_8 436_A_9 445_E_5
	X91864			WC12.25	135_D_11 135_D_5 149_A_11 166_B_6 185_B_10 218_D_6 240_D_6 279_B_6 289_G_9 307_F_1 316_E_4 321_E_9 362_B_9 390_G_3 447_F_3
	U12236			WC11.28	113_H_5 212_B_10 343_E_3 402_C_11 462_F_4
	M25513			WC15.1	203_E_7 213_A_7 342_G_12 431_H_1 465_F_1
	Z36774			WC11.27	184_H_5 198_F_4 224_A_5 292_D_2 299_E_9 376_B_7 388_C_10 434_E_8
	MHAa64d7.seq			WC7.3	117_E_8 129_D_3 134_A_2 139_H_11 148_E_8 169_A_8 171_B_4 178_F_9 198_F_2 239_A_11 291_B_7 300_C_3 309_E_9 316_B_8 344_F_12 348_D_5 375_A_7 381_E_1 397_A_4 440_B_7 441_C_3 442_E_4 451_B_7 456_B_11
	MHAa28h3.seq				170_C_7
	MHAa88f11.seq			WC9.18	115_B_7 115_B_9 121_E_2 299_F_1 348_D_8 410_E_3 417_C_8 433_A_11
	X78339			WC4.52	129_F_5 156_A_10 161_C_8 193_B_3 256_E_2 357_G_3 382_B_4 452_F_5
	43.MMHAP33FLG4.seq				381_F_9
	R75285			WC6.24	224_B_2 293_B_6 297_C_12 316_G_10 405_E_5 464_B_10
	X03020			WC11.18	114_D_10 117_A_10 138_G_7 164_B_2 164_B_4 348_B_12
	03.MHAa60T.seq			WC2.15	113_H_2 126_E_12 361_G_2 381_D_4 422_C_8
	MHAa21b4.seq			WC13.6	165_D_8 308_D_11 352_B_3 439_E_3
	X74938				183_B_6 281_C_9 362_C_7 464_H_1 87_A_3
	43.G1_8_30_95a79B.seq			WC4.19	123_B_9 402_C_2 450_E_11
	26.MHAa98g2.seq				161_F_9 178_C_12 317_B_11 360_G_12
	MHAa87d3.seq			WC2.18	122_E_12 133_D_6 183_F_2 356_E_9 418_H_7
	M18480			WC3.44	120_G_9 160_G_4 166_C_5 282_B_1 304_A_8 304_A_9 321_D_9 432_H_5 457_A_3 464_G_10
	34.mHAa3f10.seq				134_H_6 183_F_5 406_E_3 415_D_8 443_H_9 450_H_11 452_A_6 460_F_8
	47.MMHAP23FRH11.seq			WC16.13	140_F_1 141_C_7 184_E_3 184_H_11 188_D_10 199_E_11 281_A_5 296_D_11 310_F_4 351_G_8 375_A_11 410_G_5 414_G_4 434_B_10 436_E_3
	20.MMHAP14FLG2.seq			WC6.49	290_B_6
	26.E1_9_6_95.seq				162_A_6 171_B_6 256_C_2 303_G_9 320_G_7 435_F_1 442_F_8
	34.MHAa92c10.seq			WC17.32	136_D_5 181_A_11 198_C_9 283_A_10 301_B_8 423_G_6 433_D_4
	MT2731			WC9.2	117_F_5 120_E_4 179_A_3 183_H_7 223_G_12 351_F_6 382_C_11 433_F_4 438_D_11 87_E_8
	38.MHAa96d2.seq				152_B_5 285_H_9 328_E_10 356_F_1 457_E_7 457_H_1
	MHAa33c6.seq			WCX.40	121_F_1 128_B_2 215_F_7 377_E_3 377_F_11 387_G_1 446_F_5
	il5c			WC11.18	164_B_2 164_B_4 211_G_1 320_E_7 332_A_9 421_F_2
	mHAa21e8.seq			WC14.9	187_C_1 199_F_8 285_C_3 380_H_3 451_D_5
	26.MMHAP28FLA5.seq			WC15.5	132_G_8 172_G_6 173_G_10 188_C_12 348_B_12 376_G_2 449_B_1 462_E_8
	R74819			WC11.29	128_D_3 137_F_3 203_E_2 287_E_7 316_E_2 376_H_1
	X06246				136_D_5 159_B_10 421_F_12 451_F_4
	28.MMHAP25FLB4.seq			WC18.16	171_B_2 319_G_12 345_D_12 464_E_5
	MHAa67b4.seq			WC11.11	140_H_10 158_A_9 169_B_10 288_G_2 330_B_11 332_B_3 332_C_3 351_E_12 379_C_9 441_F_3
	MHAa74e3.seq			WC18.0	240_D_10 240_G_2 326_G_6 384_E_11 403_C_5 431_D_6 432_D_5 462_H_8
	37.MMHAP23FLE4.seq			WC17.10	156_G_6 164_G_10 282_C_2 331_F_6 405_C_12 414_C_6 441_A_5
	M12279				116_G_2 304_E_9 349_D_6 415_A_1
	MHAa54c9.seq			WC6.42	121_H_11 127_E_1 136_D_10 138_H_2 185_G_9 217_C_4 293_C_9 309_F_3 312_D_7 361_H_11 392_F_7 461_E_10 87_G_9
	MHAa29b8.seq			WC7.2	158_C_10 158_C_11 277_E_9 385_C_11
	MHAa43h6.seq			WC10.36	115_F_3 279_F_4 357_B_12 405_H_2 463_E_9 88_B_4
	MHAa70e9.seq			WC1.13	301_B_6 301_B_7 301_C_2 392_C_6 397_C_12 415_A_4
	MHAa97e3.seq				185_E_8 391_B_5 450_F_1 465_C_2
	17.MMHAP33FLF2.seq				159_F_6 281_H_1
	MHAa97a8.seq			WC7.38	121_A_8 183_F_4 224_H_5 279_G_2 307_A_11 307_B_6
	N28112			WC11.12	177_G_6 328_A_3 396_F_9 398_F_4 463_A_11
	01.MHAa42e1.seq			WC9.13	137_H_3 147_G_12 290_B_9 295_A_11 328_C_5 405_H_11 448_B_7 463_F_9
	39.MMHAP26FLE6.seq			WC14.23	116_H_5 141_G_5 151_C_3 183_D_6 313_B_5 323_A_3 402_C_2
	U19380			WC10.0	126_D_3 326_G_10 380_G_12 385_F_9 390_E_8 393_F_4 420_C_9 420_D_9 435_D_6 440_E_10 446_E_9 459_A_8
	03.mhaa80e.seq			WC2.5	115_C_5 134_F_6 138_G_2 149_E_10 149_G_4 283_C_9 391_C_9 406_G_3 442_E_3 442_F_5
	MHAa97a1.seq			WC3.41	136_F_2 282_C_12 285_B_5 325_C_7 332_B_5 350_D_1 388_G_7 408_H_12 419_G_1 461_B_4 465_D_12
	02.MHAa92a2.seq				119_B_3 151_D_10 168_A_3 282_C_4 304_H_3 305_A_6 317_A_9 391_E_10 424_A_1 427_A_1 449_E_4 454_A_2
	M55669			WC2.55	120_C_6 240_A_5 324_C_10 324_H_2 356_F_3 393_C_4
	R74681				163_H_4 279_E_10 431_D_12 432_A_8
	MHAa54d3.seq			WC2.42	110_E_3 169_G_9 177_B_1 298_D_3 388_E_3
	27.MHAa98g3.seq			WC9.2	120_E_4 351_F_6 460_G_8
	D17945			WC11.36	342_H_12 346_E_8 385_F_11 411_F_11 424_C_9 425_B_9
	MDB0424				185_B_8 438_G_2
	R74682			WC12.28	180_E_6 384_E_11 449_D_5
	MDB1153			WC11.32	184_C_5 302_A_2 329_H_6 357_G_9
	X05556			WC16.8	152_E_11 239_E_7 286_D_8 361_D_4 386_B_10 386_C_11 408_C_11 435_H_1 438_A_12 447_E_2
	25.mHAa8b1.seq			WC9.41	110_C_11 170_B_8 172_B_9 180_E_4 410_F_1 465_F_1
	U36475			WC11.37	117_G_8 308_A_6 384_A_10 384_E_6
	X05719			WC1.22	285_G_11 439_D_5
	16.MMHAP26FRF7.seq			WC2.70	115_C_8 118_A_11 121_E_1 170_G_12 199_G_5 282_B_6 295_C_2 403_E_7 432_H_2 434_B_11 435_E_5 435_F_3 441_H_3 446_A_11 451_B_5
	21.MHAa10f9.seq			WC14.42	115_C_7 120_D_2 152_E_12 311_G_2 390_A_11
	43.MHAa65T_M13Rev.seq			WC8.40	115_A_7 160_F_12 256_H_6 433_E_9
	R74684			WC5.50	144_E_2 152_F_6 311_H_8 418_G_2
	27.MMHAP32FLA6.seq			WC13.0	343_C_4 412_A_2 434_B_5 465_E_2
	10.MHAa92e10.seq				395_F_5 434_D_7
	12.MMHAP28FLD3.seq			WC4.20	151_G_5 153_F_2 213_D_12 287_F_12 311_E_4
	D19200			WC13.5	139_G_10 139_G_12 203_D_6 408_F_8 417_C_4 432_H_7 439_D_11 463_B_10
	31.MMHAP26FRC10.seq				139_F_7 215_G_10 279_G_2 307_B_6
	39.MHAa92h3.seq			WC5.17	144_H_9 357_C_5 357_C_9
	MHAa64a5.seq			WC4.25	124_G_6 159_A_12 178_A_1 290_A_6 300_A_11 320_G_4 415_D_9 465_D_11
	MHAa70f3.seq				410_H_4 432_G_7 435_D_9
	R75373			WC12.28	153_E_5 335_F_2 384_D_3 384_E_4 87_C_6
	D19201			WC5.9	170_G_1 323_C_11 415_C_1 460_C_10
	R74686			WC12.28	165_A_5 223_E_4 333_C_7 396_D_4
	U18658			WC2.58	163_A_1 289_A_3 303_A_4 346_B_7 361_F_8 387_C_8 391_D_2 450_H_3
	MDB1128			WC9.15	121_D_4 187_B_4 311_E_11 433_C_12
	X60136			WC15.43	135_A_10 285_D_8
	07.MMHAP28FRC7.seq			WC8.35	305_B_12 310_H_5 335_E_10 403_G_4 406_B_3 439_G_6
	MHAa67d12.seq			WC10.30	129_F_12 179_B_10 310_G_12 345_E_7 345_E_9 345_F_5 345_H_2 412_E_11 415_G_6 444_B_3 444_C_2 444_D_5
	R75548			WC2.70	170_A_6 279_C_5 379_D_12 409_B_11 411_B_9
	X06271			WC11.18	164_B_2 164_B_4 211_G_1 320_E_7 332_A_9 345_C_11 346_G_2 421_F_2
	U37351			WC4.59	165_B_11 178_B_3 281_G_11 283_B_3 308_H_3 312_C_5 335_F_12 341_E_4 388_G_2
	MHAa81e5.seq			WCX.37	168_B_4 323_H_8 324_D_4 330_E_11 376_E_2 384_C_9 419_C_11 456_A_2
	MDB0137			WC9.49	152_F_7 291_H_11 308_H_2 341_F_3 377_E_10 421_B_9 444_E_12 447_B_2
	09.MMHAP23FRC9.seq			WC2.41	141_H_2 181_H_6 198_C_7 300_G_9 457_A_12 463_F_5
	MHAa67e8.seq			WC15.27	179_B_1 328_C_6 348_C_11 386_C_1
	21.MMHAP26FLG3.seq			WC10.3	149_E_2 150_F_2 303_B_10 345_A_1 432_E_12 436_G_6 438_H_5
	U28406				144_H_12 156_D_11 223_B_4 351_H_12 429_A_4 433_E_4 434_F_8 458_F_6
	R75524				122_H_12 152_F_3 160_E_1 181_E_8 185_G_10 193_D_5 277_C_3 281_F_6-f 297_F_9 298_D_5 300_B_5 351_A_3 396_F_3 405_C_5 459_E_12
	MHAa27b4.seq			WC6.19	138_E_12 187_B_10 288_E_10 298_G_2 311_E_1 442_H_4
	39.MHAa64h3.seq				139_F_9 172_C_3 278_H_7 333_F_6 333_H_9
	X87257				283_A_8 416_E_3 422_C_6 429_C_6
	N28197				123_H_10 311_A_11 317_C_3
	MHAa70e2.seq			WC8.42	137_C_1 185_B_11 329_G_2 385_C_7 398_A_2
	26.mHAa3c2.seq				134_E_9 160_B_12 166_H_11 281_G_6 309_B_4 403_H_12 464_C_12
	17.MHAa92b5.seq			WCX.44	282_F_5 308_E_4 329_D_1 414_G_7 418_F_2 418_H_1 460_D_8 460_E_7 460_F_7
	X74784			WC13.25	124_H_12 141_H_2 460_A_9
	X87096			WC4.5	140_H_7 212_B_1 415_A_10 443_H_2 448_D_8
	04.MMHAP14FLB1.seq			WC2.5	134_F_6 138_G_2 149_E_10 149_G_4 391_C_9 406_G_3 450_F_2
	47.MMHAP28FRH11.seq			WC14.40	118_H_1 120_D_1 121_C_12 135_F_12 358_F_10 359_H_12 435_F_6 437_E_6
	MDB0213			WC15.39	118_D_2 183_D_3 199_G_5 240_H_10 240_H_11 301_B_2 301_B_5 425_A_8 461_C_2
	MHAa53b7.seq				134_C_5
	U51112			WC4.47	214_E_4 375_H_11
	MHAa21c3.seq			WC1.28	178_D_2 215_D_2 218_D_11 223_C_10 223_G_6 356_A_1 434_F_3 436_B_5
	X86368			WC19.8	114_B_9 138_H_12 141_H_8 149_F_5 360_F_5 410_A_9 445_G_3 456_B_2
	13.MMHAP12FLE1.seq			WC4.0	122_D_11 305_G_12 358_D_6 403_H_12 410_D_1 411_H_4 440_E_12 441_C_3
	MHAa30f10.seq			WC18.26	148_B_2 330_F_6 388_F_1 395_H_2 402_G_4 433_D_12 459_A_8 461_F_3
	R75280			WC13.0	113_D_7 362_B_5 406_E_2
	R75361				357_C_6 382_A_7 385_F_1 393_E_4
	MHAa54c2.seq			WC16.39	149_H_8 184_H_7 377_G_6 406_D_3 439_A_3
	16.MMHAP22FRF7.seq			WC5.55	124_G_9 132_B_8 266_E_3 296_H_3 297_H_12 333_A_3 342_B_3 417_F_8
	38.MHAa64h2.seq			WC2.63	144_A_8 171_G_1 187_H_1 312_C_2 342_A_2 345_E_9 434_F_6
	21.MMHAP28FLG3.seq			WC14.29	141_D_7 148_D_6 187_F_11 223_H_5 290_C_11 297_E_11 351_C_11 351_F_10 416_G_1 451_D_6 451_D_8
	35.MMHAP28FRD11.seq			WC2.2	133_H_1 213_A_12 213_B_12 256_D_3 303_G_12 385_C_5 465_F_7
	MHAa52a11.seq			WC14.44	138_C_4 188_B_12 224_H_6 282_A_9 289_A_2 289_D_10 307_H_7 344_C_3 375_E_4 386_E_11 392_E_10 445_F_3 87_E_10
	D19209			WC13.14	343_F_11 359_C_12 406_E_11 436_B_6
	07.MHAa64e7.seq				125_B_10 164_C_1 274_A_11 391_G_7 421_A_7 442_H_6 443_H_5 443_H_6
	M14223				125_B_11 127_F_7 129_H_6 131_D_12 137_C_10 152_G_8 161_B_1 180_E_9 274_D_6 305_E_12 326_F_4 386_B_4 389_E_8 395_E_5 437_E_10 442_B_11
	MHAa32d3.seq			WC1.67	301_C_7 414_A_6 449_F_12 465_D_12
	20.MMHAP23FLG2.seq			WC8.40	256_H_6 361_G_5 433_E_9
	MHAa74a1.seq			WC13.19	125_B_10 183_F_11 281_F_5 308_G_9 341_E_10 390_C_4 425_E_10 441_B_9 449_A_1
	U52461			WC13.26	158_B_5 188_B_2 335_F_12 381_B_11 385_G_4 402_C_12 432_D_6 432_F_5
	mHAa31e3.seq			WC10.18	134_B_8 134_D_8 181_E_10 273_B_7 451_A_2 451_D_9 462_A_5
	X58712			WC16.8	152_E_11 239_E_7 349_G_8 392_E_8 438_A_12 447_E_2 463_F_5
	L25125			WC8.41	169_G_6 295_B_7 311_D_1 385_C_6 390_E_1
	X13605				127_H_2 147_A_9 434_C_8
	L25126			WCX.5	141_F_12 150_H_8 172_E_9 193_B_5 346_E_5 440_D_7
	L38613			WC12.25	298_G_4
	43.MHAa96d7.seq				200_D_7 307_B_8 428_F_7 463_G_7
	D29987			WC19.15	386_C_7
	mHAa21f7.seq				150_E_5 198_H_5 256_C_12 386_G_3 462_H_6
	MHAa22e7.seq			WC13.30	149_F_2 385_B_1 402_E_11
	U10341			WCX.0	156_E_5 159_C_8 302_C_7 381_G_11 386_G_4
	10.MMHAP20FRD7.seq			WC2.17	360_F_3 88_B_5
	MHAa42c9.seq				177_E_7 287_F_12
	MHAa87a2.seq				115_B_6 177_D_7 358_D_7
	L33412			WC2.2	133_H_1 256_D_3 303_G_12 381_F_5
	05.MMHAP12FRB8.seq			WC8.14	114_F_11 138_B_12 213_A_1 213_B_11 306_D_5 417_A_8 439_G_5 456_G_2
	mHAa31g7.seq			WC9.29	127_B_3 165_E_4 180_D_11 316_E_4 323_B_11 323_C_11 425_D_2 448_E_11 451_F_11
	MHAa70f8.seq				119_E_11 218_B_3 292_A_10 418_C_7 441_B_3
	U11075			WC15.35	334_D_8 387_E_3 456_C_7
	14.MMHAP10FRE8.seq				302_B_10 333_D_9 402_A_4 414_B_9 448_H_8
	MHAa34f9.seq			WC13.33	114_E_7 171_F_2 295_B_5 310_G_3 356_H_1 356_H_7
	Z15103			WC11.37	295_H_1 445_F_9
	R74711			WC4.45	125_E_11 185_G_6 344_H_1 384_H_11 410_H_11 437_E_10
	Z21503				183_B_6 281_C_9 362_C_7 464_H_1 87_A_3
	MHAa88g1.seq			WC13.23	213_G_11 218_E_1 292_E_3 346_H_4 352_F_6 377_F_5 392_B_7 403_A_8 417_F_9 450_D_4 453_B_1 456_E_10 87_E_9
	X85999			WC2.70	126_C_8 158_B_12 185_A_6 200_H_8 349_F_11
	MDB1320			WC8.41	170_F_11 183_D_7 193_H_1 293_C_6 311_D_1 362_G_6 389_A_3 403_B_3 417_B_3 455_F_10 464_E_7
	04.MMHAP12FRB7.seq			WC13.41	128_H_5 129_G_3 140_A_2 156_D_9 166_A_12 169_F_11 173_A_6 184_A_1 349_G_8 352_H_7 352_H_9 396_C_9 398_G_12 415_F_11 458_A_12 458_F_4
	U52842			WC19.2	116_A_4 122_G_6 165_F_3 184_D_12 360_D_3 382_B_12 410_G_3 449_D_8
	48.MMHAP33FLH6.seq			WC11.16	119_H_4 128_F_12 309_F_5 310_C_3 320_E_2 356_C_4 385_G_7
	16.MHAa65T_M13Rev.seq			WC12.28	121_A_5 139_F_4 217_F_5 343_G_6 432_A_12 432_B_3 445_E_3 455_B_10
	MDB0432			WC9.16	135_E_11 158_A_4 167_D_12 310_F_11 346_F_4 434_D_9 455_F_11
	22.mHAa3b10.seq			WC7.21	283_C_3 312_A_12 348_D_10 358_A_2 412_H_3
	MHAa61a3.seq			WC6.39	180_C_7 396_F_4 405_A_4 405_D_2
	D18020			WC16.9	110_C_3 138_C_8 158_G_6 169_G_5 180_D_1 218_D_10 224_C_9 224_F_8 255_C_8 255_D_9 286_E_4 406_A_3 420_G_8 451_F_9
	MDB1324				113_F_3 152_B_7 184_A_8 212_G_5 323_F_8 447_H_10
	MHAa8h12.seq			WC12.5	117_G_5 135_G_2 198_H_3 223_C_9 308_B_7 358_D_1 388_C_1
	MHAa53d7.seq			WC18.26	166_C_1 313_A_10 396_E_12 396_G_7 456_G_5
	14.MHAa90b2.seq				458_B_1 458_B_3 460_F_9
	19.MMHAP33FRG7.seq			WC13.13	133_H_1 256_D_3 303_G_12 351_H_5 385_C_5 405_A_11 465_B_4 465_F_7
	MTH628			WCX.9	185_G_2 285_H_4 301_A_7 387_E_9
	22.MHAa91f10.seq				150_A_5 168_A_3
	05.MMHAP33FRB8.seq				128_C_5 128_H_6 171_A_1 187_H_3 224_A_1 378_B_10 419_G_10
	MHAa59e4.seq			WC17.0	184_E_12 415_D_10 439_G_11 446_H_4 454_G_5
	U34920			WC17.5	117_A_11 148_C_6 308_E_2
	MHAa85d6.seq			WC3.36	125_D_7 127_B_4 158_H_9 274_C_1 304_C_9 360_D_7 457_H_4
	D19210			WC3.38	135_F_8 140_E_6 331_B_8 427_F_5
	R75586			WCX.2	129_B_1 167_B_5 172_B_5 203_B_11 281_A_11 282_A_7 286_H_4 287_D_2 359_H_1 360_B_5 433_B_1 435_A_8 447_H_9 451_F_3
	26.MHAa96c2.seq				180_E_7 342_C_6 356_E_11 456_H_4
	25.MHAa52g1.seq			WC11.15	150_D_4 178_A_5 317_C_4 317_C_5 325_B_5 377_F_9 384_H_2 415_G_3 421_G_7 448_A_10
	46.MHAa62T.seq			WC14.44	122_E_5 134_D_6 172_F_3 184_F_3 329_C_10 329_G_8 334_D_10 349_E_7 351_C_7 359_F_10 384_F_6 386_A_5 405_E_7 419_B_9 429_D_7 437_E_11 457_C_3 457_D_2
	X79082				148_F_9 171_F_8 459_D_7
	45.MMHAP22FRG12.seq			WC15.28	147_B_11 181_A_12 218_F_5 240_A_1 240_C_1 240_D_1 240_D_7 302_G_3 351_C_8 377_B_10 387_A_9
	43.MMHAP27FLG4.seq			WC9.25	137_E_8 385_A_2 396_H_8 436_A_9 443_H_2
	30.MHAa58c6.seq			WC4.25	126_H_4 127_F_10 136_B_10 180_G_3 218_A_4 293_B_7 297_C_9 297_D_9 323_D_2 343_H_3 406_C_5 415_F_8 438_A_4
	MDB0439				173_A_11 181_F_9
	X79083				148_F_9 459_D_7
	05.mHAa7h5.seq			WC8.19	135_D_7 240_C_11 240_F_11 298_F_8 300_D_8 358_D_12 377_B_11 402_G_1 431_A_5
	18.MMHAP25FRF9.seq			WC12.5	140_F_12 147_C_6 286_A_6 352_A_12 406_A_3 418_G_6 437_A_10
	21.MHAa42f9.seq			WC18.35	136_A_5 286_D_8 290_G_9 345_E_1 408_D_10 417_E_4
	07.MHAa50e7.seq			WC9.4	166_H_11 168_B_6 303_C_7 309_A_3 384_G_8 392_H_12 417_C_12 422_H_6 429_H_6 442_E_12
	X79084			WC15.25	148_F_9
	X86374				87_A_3
	D17867				188_D_12 319_F_1 398_H_7 416_C_10 433_D_11
	D29015				168_A_10 398_B_3 426_E_3
	D19214			WC8.12	419_G_3 443_A_12
	D17948				115_C_10 128_F_4 147_B_10 305_D_2 387_A_10 417_E_8 417_H_12 446_D_12
	Y00769				350_G_1 454_D_5
	07.MMHAP20FRC7.seq				161_H_11 239_E_1 342_D_10
	MHAa15h7.seq				418_H_11
	Y00305				178_A_6 181_D_10 447_H_4
	MHAa20d4.seq			WC6.28	119_B_2 187_B_8 217_D_3
	MHAa21d2.seq				266_C_7 287_A_7
	Z46757			WC3.25	119_B_9 184_A_9 321_C_3 329_D_9 360_F_4 380_E_1 433_G_10 433_H_9
	13.MMHAP21FLE1.seq				124_A_1 156_E_10 160_A_12 240_F_5 266_F_12 321_A_8 330_E_9 381_E_10 390_A_2 408_B_5 457_F_5 463_G_12
	MHAa97c12.seq			WC8.17	113_F_6 273_C_12 331_D_4
	M80481			WC9.4	166_H_11 168_B_6 239_G_3 303_C_7 360_A_6 384_G_8 392_H_12 435_E_1 442_E_12
	MHAa87e11.seq			WC5.1	116_A_1 287_F_10 300_H_1 342_F_4 361_A_8 376_A_9
	D19217			WC8.16	325_B_9 362_C_12 375_D_7 387_H_8 415_H_8 452_B_12
	MHAa67b9.seq			WC5.57	117_H_8 212_A_12 306_C_2 406_D_1
	MHAa29a8.seq			WC16.35	118_F_1 290_E_6 434_D_1 445_E_7
	39.MMHAP23FRE12.seq			WC11.46	120_G_5 183_B_4 184_D_3 437_F_3
	37.MHAa64h1.seq				136_G_9 376_A_10 386_C_5 452_A_4 459_B_11
	30.MMHAP31FLB6.seq			WC6.2	398_F_5 431_C_2 464_G_1
	X86000				128_D_2 148_F_10 341_F_12 450_E_10
	MHAa28c7.seq				166_C_2 396_H_2
	A892			WC4.46	163_A_5 187_E_6 289_E_10 384_F_10 416_E_11 419_E_5
	20.MMHAP32FLG2.seq			WC19.20	119_F_4 151_B_2 359_D_5 395_F_12 434_G_10 457_H_12
	08.MMHAP29FLC2.seq			WC10.3	147_B_1 255_D_1 282_H_7 360_H_5 379_H_2 403_E_6 437_H_1 451_F_3
	D26186			WC2.70	171_C_9 185_C_8 188_A_3 285_A_4 359_G_4 381_H_2 412_A_7 430_C_5 435_D_2
	MHAa82a7.seq			WC17.21	116_A_4 119_F_11 127_A_10 151_G_7 291_A_8 316_H_7 465_H_7
	U35730			WC15.32	129_B_3 163_H_5 223_G_5 456_D_1-f
