Locus	Assay	Chrom	Genetic Position	Contig	Yacs
D1Mit64	MPC817	Chr1	0.0	WC1.0	134_G_1 147_A_11 161_H_2 184_B_11 218_F_1 377_D_3 381_C_7 446_E_12
D1Mit317	MTAR4087	Chr1		WC1.1	147_B_11 181_A_12 218_F_5 240_A_1 240_D_1 240_D_7 302_G_3 324_H_6 326_C_6 387_A_9 418_G_4 447_H_2
D1Mit253	MT2036	Chr1			303_D_4 330_C_2 391_A_9 414_C_11 433_B_11 433_C_4 464_D_12
D1Mit544	MT4620	Chr1			123_C_12 298_G_7 321_B_12 321_F_1 346_F_7 409_G_12 419_F_1 446_E_8
D1Mit545	MT4904	Chr1			439_C_2
D1Mit190S	MT1182.2	Chr1			199_G_5
D1Mit69	MPC211	Chr1			135_B_11 212_D_8 351_C_6 361_B_9 415_A_11 427_D_5 463_B_6
D1Mit294	MT3284	Chr1	3.3	WC1.0	313_B_7 377_F_1 440_B_10 459_D_7
D1Mit316	MT109	Chr1	3.3	WC1.0	116_E_4 139_A_7 415_A_8 425_H_6 426_H_6 460_F_4
D1Mit475	MTH3121	Chr1	4.4		160_F_12 322_C_2 352_F_9 425_C_3 426_B_3
D1Mit429	MTH1458	Chr1	4.4	WC1.0	188_C_3 440_B_10 459_D_7
D1Mit428	MTH916	Chr1	4.4		158_D_8 158_H_7 162_E_2 193_F_7 217_H_12 278_G_5 326_D_11 332_A_11 377_C_3 379_A_12 382_E_6 446_C_7 449_E_11 457_B_1
D1Mit160S	MT689.1	Chr1	4.74082	WC1.6	115_D_11 313_B_7 377_F_1
D1Mit275S	MTH265.1	Chr1	5.24333	WC1.44	184_B_11 377_D_3 381_C_7
D1Mit67	MPC1133	Chr1	5.5	WC1.0	134_G_1 316_C_7 377_D_3 385_H_5 405_B_12 463_H_5
D1Mit68	MPC156	Chr1	5.5	WC1.0	298_A_6 316_C_7 377_D_3 385_H_5 405_B_12 463_H_5
D1Mit3	M253	Chr1	7.7		408_C_7
D1Mit168	MT507	Chr1	7.7	WC1.1	167_E_12 239_A_4 295_F_2 307_E_1 426_B_7
D1Mit276	MT2933	Chr1	8.7	WC1.1	128_F_10 297_C_4 297_C_7 442_B_3 457_C_2
D1Mit4	M46	Chr1	8.7	WC1.1	147_B_11 240_A_1 240_C_1 240_D_7 309_G_10 324_H_6 384_G_3 396_F_12 447_H_2
D1Mit231	MT1700	Chr1	8.7	WC1.1	218_F_5 240_A_1 240_C_1 240_D_1 240_D_7 309_G_10 324_H_6 384_G_3 408_G_1 415_A_11 436_H_4 457_C_2
D1Mit431	MTH2110	Chr1	10.9	WC1.1	167_E_12 239_A_4 295_F_2 307_E_1 426_B_7
D1Mit363	MT3566	Chr1	12.0		132_G_6 239_F_5 358_G_9 427_D_7 462_D_4
D1Mit432	MTH1543	Chr1	12.0	WC1.1	162_F_1 323_H_7 323_H_9 379_F_3
D1Mit120	MPC1221	Chr1	12.0	WC1.1	150_B_4 150_G_7 167_E_12 255_G_4 307_E_1 393_C_12 417_C_8 417_H_5 424_F_10 441_C_12 446_B_5 446_D_4
D1Mit432S	MTH1543.1	Chr1	12.5521	WC1.1	162_F_1 379_F_3
D1Mit169S	MT1254.2	Chr1	12.5521	WC1.1	160_G_11 162_F_1 172_H_7 212_C_7 287_B_2 287_D_4 357_F_8 379_F_3 393_C_12 446_B_5 446_D_4 454_C_2 465_A_2
D1Mit70	MPC284	Chr1	15.3	WC1.2	115_F_4 141_B_12 141_H_5 332_H_9 362_G_5 402_B_3 437_F_6 437_G_3 446_H_1 454_G_6
D1Mit411	MTH750	Chr1	16.4	WC1.2	141_H_5 256_A_12 326_B_3 332_H_9 343_E_11 446_H_1 454_G_6
D1Mit225	MT249	Chr1	16.4		137_G_3 335_H_10 358_C_3 359_H_9 421_D_6 438_F_2 447_D_3 459_H_3
D1Mit20	A630	Chr1	16.4		158_A_3 158_C_1 187_E_4 293_B_1 452_E_4
D1Mit277S	MT2472.2	Chr1	17.0265	WC1.2	160_E_1 256_A_12 287_H_12 308_G_7 326_B_3 343_E_11 438_F_7
D1Mit243	MT2345	Chr1	17.5	WC1.3	124_H_6 139_C_10 150_B_1 156_F_3 170_H_10 319_D_10 386_H_2 433_C_11
D1Mit71	MPC1139	Chr1	17.5	WC1.3	122_D_9 124_H_6 319_D_10 320_D_2 389_C_8 462_G_4
D1Mit170S	MT262.1	Chr1	18.1388		088_A_5 279_D_12 377_G_6 390_G_8 403_A_12
D1Mit171	MTH113	Chr1	18.6	WC1.3	200_H_11 331_D_9 422_G_11 436_D_3 445_F_3 454_D_12
D1Mit320	MT3701	Chr1	19.7	WC1.4	121_E_2 168_B_9 217_D_5 317_D_11 317_F_9 358_A_2
D1Mit232	MT1968	Chr1	19.7	WC1.4	140_A_12 144_A_1 144_E_1 144_G_1 163_H_8 171_H_12 217_D_5 390_A_10 433_D_2
D1Mit122S	D866.1	Chr1	20.3634	WC1.4	131_B_12 144_E_1 163_H_8 316_B_12 433_D_2
D1Mit172	MT570	Chr1	20.8	WC1.4	163_H_8 217_D_12 334_E_10 382_F_4
D1Mit322	MT3731	Chr1	23.0	WC1.5	156_C_8 224_H_10 300_A_12 312_A_7 317_A_10 381_A_1 417_B_3 453_B_3 458_E_4
D1Mit433	MTH1850	Chr1	23.0	WC1.5	087_B_5 312_A_7 381_A_1 448_E_12
D1Mit73	MPC1269	Chr1	23.0		133_A_9 164_A_1 334_G_2 356_B_5 362_D_6 387_G_5 397_E_8 402_B_2 406_A_8 409_G_3
D1Mit476	MTH2934	Chr1	23.0	WC1.5	115_H_11 224_H_10 286_F_10 312_A_7 343_A_5 396_B_2 436_A_1 458_E_4
D1Mit173S	MT511.1	Chr1	23.7002	WC1.5	115_H_11 224_H_10 343_A_5 381_A_1 396_B_2 458_E_4
D1Mit477	MTH2285	Chr1	24.0	WC1.6	169_C_11 274_C_3 274_C_4
D1Mit375	MT5256	Chr1	25.1	WC1.6	274_C_3 274_C_4 348_D_4 359_D_5 448_D_3 458_F_3 460_E_5
D1Mit279	MT2947	Chr1	25.1	WC1.8	115_B_10 158_E_4 172_G_10 187_F_3 389_E_8
D1Mit236	MT1868	Chr1	25.1	WC1.6	181_G_2 286_G_6 382_B_4 412_F_6 418_G_2
D1Mit175	MMH304	Chr1	25.1	WC1.6	299_F_4 376_E_8 376_G_7 463_H_12
D1Mit234S	MTH170.1	Chr1	25.9248	WC1.1	134_C_11 139_G_11 181_G_2 319_B_11 352_D_3 382_B_4 418_G_2 434_C_11
D1Mit161	MT884	Chr1	26.2	WC1.8	115_B_10 124_F_10 158_E_4 172_G_10 187_F_3 193_F_11 389_E_8 445_B_8
D1Mit237	MT1893	Chr1	26.2	WC1.6	117_E_6 158_H_11 161_D_2 203_C_7 311_D_4 334_H_2 361_B_12 382_G_5 391_A_11 398_D_8 402_A_7 408_F_5 421_A_2 421_B_2 444_B_3 451_A_9 463_H_11
D1Mit18	A77	Chr1	27.3	WC1.7	163_D_10 172_A_1 317_F_6 405_C_4 409_G_11 464_A_11
D1Mit478	MTH2176	Chr1	28.4	WC1.7	135_B_7 256_G_5 286_H_1 319_F_2 345_F_5 409_G_11
D1Mit531	MTH3018	Chr1	31.7	WC1.8	148_C_4 343_C_6 343_F_9 438_E_12 460_F_10
D1Mit214	MT124	Chr1	31.7	WC1.8	119_D_12 148_C_4 343_C_6 410_C_6 419_A_5 438_E_12 460_F_10
D1Mit414	MTH798	Chr1	31.7	WC1.8	113_B_12 148_C_4 158_E_4 198_A_12 218_G_3 343_C_6 343_H_8 389_E_8 414_G_9 421_F_9 465_E_11
D1Mit530	MTH2805	Chr1	31.7		115_E_7 140_H_10 165_C_6 187_A_11 360_B_9 376_G_6 379_F_8 392_H_2 393_G_8
D1Mit74	MPC1181	Chr1	31.7	WC1.8	119_D_12 126_G_10 127_A_1 256_B_12 307_H_11 342_F_3 398_C_9 406_D_4 410_C_6 460_F_10
D1Mit324	MT3764	Chr1	31.7	WC1.8	113_B_12 148_C_4 198_A_12 343_C_6 343_H_8 389_E_8 414_G_9 421_F_9 465_E_11
D1Mit379	MT4885	Chr1	32.8	WC1.9	147_B_1
D1Mit302	MT3511	Chr1	32.8	WC1.8	115_B_10 124_F_10 158_E_4 172_G_10 187_F_3 450_A_6
D1Mit480	MJ5376	Chr1	32.8		152_E_1 297_B_11 316_A_3 349_B_6 361_C_5
D1Mit301	MT3517	Chr1	32.8	WC1.10	088_B_10 173_H_5 313_C_3 375_F_4 406_A_2 439_D_5 450_B_7
D1Mit303	MT3244	Chr1	32.8	WC1.9	147_B_1 281_G_7 281_H_5 343_G_4 418_H_2
D1Mit364	MT3613	Chr1	32.8		127_G_2 178_A_5 187_C_1 387_G_10 409_F_12 417_H_9
D1Mit326	MT3953	Chr1	32.8	WC1.10	170_F_2 193_G_10 362_F_6 380_C_2 384_B_2 406_A_2 440_E_6 450_B_7 462_G_5
D1Mit376S	MT4983.1	Chr1	33.1183	WC1.8	148_C_4 343_C_6 410_C_6 419_A_5 438_E_12 460_F_10
D1Mit21S	D643.1	Chr1	34.2306		118_E_6 454_F_12
D1Mit330	MJ4247	Chr1	36.1	WC1.11	122_C_5 134_B_6 160_C_11 171_H_3 239_H_11 446_D_7
D1Mit19	L86	Chr1	37.2	WC1.12	161_F_1 433_C_1 433_E_3 436_A_5 460_H_10
D1Mit282	MT3053	Chr1	37.2	WC1.12	287_D_2 436_D_3
D1Mit250	MT2412	Chr1	37.2	WC1.11	134_B_6 160_C_11 313_D_9 344_E_12 398_G_2
D1Mit78	MPC332	Chr1	37.2	WC1.11	114_F_11 147_G_2 152_A_5 193_A_4 331_G_6 344_E_12 430_H_8 464_D_5
D1Mit77	MPC412	Chr1	37.2	WC1.12	161_F_1 433_C_1 433_E_3 436_A_5 436_D_3
D1Mit380	MT4646	Chr1	37.2	WC1.12	287_D_2 361_G_9 386_F_4 387_H_4 406_C_11 415_E_4 450_D_3 451_D_2 460_H_10
D1Mit381	MT4583	Chr1	40.4	WC1.11	134_B_6 160_C_11 171_H_3 239_H_11 344_E_12 436_B_9
D1Mit7	A80	Chr1	41.5	WC1.13	156_E_8 179_H_9 218_D_8 256_G_11 316_B_5 317_G_10
D1Mit24	B151	Chr1	41.5	WC1.12	124_F_2 436_A_5
D1Mit23	B231	Chr1	41.5	WC1.13	120_G_10 156_E_5 156_E_8 179_H_9 256_G_11 316_B_5 317_G_10 325_E_7 329_B_2
D1Mit181	MMH364	Chr1	42.6	WC1.12	124_F_2 436_A_5
D1Mit437	MTH1941	Chr1	43.7	WC1.14	122_D_5 140_E_8 144_E_1 181_D_12 212_D_2 217_A_1 287_H_2 330_B_1 391_B_10 425_A_7 441_B_10
D1Mit284	MT2879	Chr1	43.7	WC1.14	181_D_12 330_B_1 376_C_7
D1Mit79	MPC1431	Chr1	43.7	WC1.14	122_D_5 140_E_8 144_E_1 181_D_12 217_A_1 287_H_2 391_B_10 417_F_2 417_F_3 417_H_3 443_E_11
D1Mit331	MT3829	Chr1	43.7	WC1.14	330_B_1 349_D_6 376_C_7 417_D_11 444_H_8
D1Mit332	MT4184	Chr1	43.7	WC1.14	317_D_3 381_B_11 396_B_6 443_E_11
D1Mit46	B219	Chr1	43.7	WC1.13	121_D_12 137_G_4 156_E_8 172_C_5 183_E_1 183_F_10 375_C_1 406_G_5 430_H_2 447_B_12 464_B_11
D1Mit133	MPC954	Chr1	43.7	WC1.14	122_D_5 144_E_1 181_D_12 217_A_1 287_H_2 391_B_10 406_G_9 417_E_5 417_F_12 417_F_3 443_E_11
D1Mit333	MT4187	Chr1	43.7	WC1.14	122_D_5 140_E_8 181_D_12 217_A_1 287_H_2 330_B_1 391_B_10 417_F_3 441_B_10
D1Mit483S	MJ5339.1	Chr1	45.4558	WC1.14	122_D_5 140_E_8 181_D_12 217_A_1 391_B_10
D1Mit484S	MT4206.2	Chr1	45.4558	WC1.14	122_D_5 140_E_8 144_E_1 217_A_1 287_H_2 330_B_1 391_B_10 441_B_10
D1Mit44	A734	Chr1	50.3	WC1.15	127_A_1 282_C_6 308_A_7 312_F_8 356_C_10 361_G_2 377_G_1 398_F_10 409_E_3
D1Mit383	MTH397	Chr1	50.3	WC1.15	255_F_9 282_C_6 306_E_2 308_A_7 326_H_4 356_C_10 361_G_2 398_F_10 416_D_2
D1Mit439	MTH1483	Chr1	50.3	WC1.14	178_D_2 223_C_10 356_A_1 421_B_2 436_B_5
D1Mit82	MPC546	Chr1	51.4	WC1.15	159_F_10 166_H_10 223_E_12 406_D_8 450_F_2
D1Mit415	MTH794	Chr1	51.4		135_C_9 288_F_10 313_B_10 361_D_12 439_A_2
D1Mit9	M111	Chr1	51.4	WC1.15	127_C_9 134_C_11 158_G_6 161_E_1 187_D_12 255_F_9 283_G_2 303_D_10 322_C_12 356_D_11 406_H_6 436_C_3 436_C_8 454_C_3 458_F_6
D1Mit8	L31	Chr1	51.4	WC1.15	125_G_2 127_C_9 255_F_9 282_C_6 303_D_10 306_E_2 308_A_7 356_C_10 398_F_10 409_E_3 416_D_2
D1Mit384	MT4818	Chr1	51.4	WC1.15	115_E_10 115_E_9 127_C_9 158_G_6 168_H_10 187_D_12 281_B_9 303_D_10 333_C_10 356_D_11 420_D_11 458_F_6
D1Mit48	B298	Chr1	52.5	WC1.16	125_C_8 160_A_9 184_H_8 188_D_4 313_D_4 417_A_3 433_F_6 456_A_5
D1Mit486	MTH2149	Chr1	52.5	WC1.16	188_D_4
D1Mit53S	B722.2	Chr1	53.3959	WC1.44	141_E_7 159_F_10 169_F_10 185_A_6 217_A_9 308_D_9 358_H_3 378_A_1 380_G_7 406_D_8 410_D_1 419_E_2
D1Mit488	MTH2583	Chr1	54.6		165_A_4 172_H_2 310_E_9 322_A_2 385_F_6 390_A_4 419_C_4 454_B_11
D1Mit84	MPC1659	Chr1	56.8	WC1.17	087_H_8 171_A_12 283_F_12 312_G_10 459_A_3
D1Mit45	A868	Chr1	57.9	WC1.17	165_E_6 170_A_8 170_E_4 312_A_6 316_A_8 348_G_6 359_G_10
D1Mit306	MT2024	Chr1	57.9	WC1.18	170_B_9 255_A_5 296_F_6 393_C_2 395_E_10 436_F_11
D1Mit365	MT3651	Chr1	57.9	WC1.17	129_E_10 147_E_8 171_A_12 187_E_3 283_F_12 298_G_2 312_G_10 324_G_1 434_H_9
D1Mit489	MTH2519	Chr1	59.0		129_H_7 148_G_7 199_B_7 306_G_7 392_B_1 402_D_8 414_H_2 458_A_11
D1Mit337	MT3919	Chr1	59.0		203_B_9 240_F_4 433_F_2
D1Mit60	B534	Chr1	59.0		309_G_4
D1Mit385	MT4909	Chr1	59.0		124_D_2 136_D_2 136_E_11 171_D_1 180_A_7 183_C_12 240_B_4 329_H_11 378_E_6 393_D_3 396_A_6 408_C_4 408_G_7
D1Mit336	MT4008	Chr1	59.0	WC1.18	172_A_9 187_G_7 382_H_6 391_G_3 393_C_2 436_F_11
