01.MHAa42e1.seq	WC-118
01.MHAa43c1.seq	WC-2089
01.MHAa56e1.seq	WC-693
01.MHAa98e1.seq	WC-414
01.MMHAP11FLA1.seq	WC-1689
01.MMHAP12FLA1.seq	WC-551
01.MMHAP16FRA7.seq	WC-1621
01.MMHAP17FA1.seq	WC-1280
01.MMHAP18FRA7.seq	WC-1263
01.MMHAP20FRA7.seq	WC-673
01.MMHAP24FRA7.seq	WC-1271
01.MMHAP25FRA7.seq	WC-741
01.MMHAP26FRA7.seq	WC-1644
01.MMHAP27FRA7.seq	WC-141
01.MMHAP28FLA1.seq	WC-677
01.MMHAP28FRA7.seq	WC-2019
01.MMHAP32FLA1.seq	WC-273
01.MMHAP33FRA7.seq	WC-1161
01.MMHAP36FRA7.seq	WC-2014
01.MMHAP38FLA1.seq	WC-968
01.MMHAP42FRA7.seq	WC-1818
01.MMHAP47FLA1.seq	WC-1993
01.MMHAP50FLA1.seq	WC-1592
01.MMHAP53FLA1.seq	WC-314
01.MMHAP54FLA1.seq	WC-861
01.MMHAP57FRA7.seq	WC-321
01.MMHAP58FLA1.seq	WC-1646
01.MMHAP59FLA1.seq	WC-2083
01.MMHAP59FRA7.seq	WC-1153
01.MMHAP62FLA1.seq	WC-1993
01.MMHAP62FRA7.seq	WC-1256
01.MMHAP63FLA1.seq	WC-996
01.MMHAP63FRA7.seq	WC-1203
01.MMHAP64FLA1.seq	WC-1974
01.MMHAP67FLA1.seq	WC-1007
01.MMHAP69FLA1.seq	WC-1442
01.MMHAP6FLA1.seq	WC-905
01.MMHAP6FRA7.seq	WC-1475
01.MMHAP71FRA7.seq	WC-381
01.MMHAP76FLA1.seq	WC-1759
01.MMHAP84FRA7.seq	WC-1290
01.MMHAP85FRA7.seq	WC-1917
01.MMHAP88FLA1.seq	WC-712
01.MMHAP88FRA7.seq	WC-252
01.MMHAP8FRA7.seq	WC-1660
01.MMHAP90FLA1.seq	WC-394
01.MMHAP90FRA7.seq	WC-603
01.MMHAP93FRA7.seq	WC-1656
01.MMHAP94FRA7.seq	WC-1937
01.MMHAP95FRA7.seq	WC-1086
01.MMHAP96FRA7.seq	WC-844
01.MMHAP97FRA7.seq	WC-1340
01.MMHAP9FLA1.seq	WC-1899
01.mHAa9f1.seq	WC-95
02.MHAa50e2.seq	WC-339
02.MHAa56e2.seq	WC-321
02.MHAa64e2.seq	WC-1913
02.MHAa89e2.seq	WC-1623
02.MHAa92a2.seq	WC-462
02.MHAa92e2.seq	WC-797
02.MMHAP11FLA2.seq	WC-738
02.MMHAP11FRA8.seq	WC-1585
02.MMHAP15FLA2.seq	WC-1744
02.MMHAP15FRA8.seq	WC-911
02.MMHAP16FLA2.seq	WC-1191
02.MMHAP16FRA8.seq	WC-1061
02.MMHAP17FA2.seq	WC-333
02.MMHAP19FRA8.seq	WC-1778
02.MMHAP24FRA8.seq	WC-656
02.MMHAP26FLA2.seq	WC-1354
02.MMHAP26FRA8.seq	WC-424
02.MMHAP28FRA8.seq	WC-1081
02.MMHAP29FLA2.seq	WC-1993
02.MMHAP32FLA2.seq	WC-1227
02.MMHAP35FLA2.seq	WC-1542
02.MMHAP35FRA8.seq	WC-383
02.MMHAP36FLA2.seq	WC-154
02.MMHAP37FLA2.seq	WC-732
02.MMHAP4FRA8.seq	WC-1887
02.MMHAP56FRA8.seq	WC-820
02.MMHAP5FLA2.seq	WC-1836
02.MMHAP5FRA8.seq	WC-897
02.MMHAP62FLA2.seq	WC-652
02.MMHAP63FLA2.seq	WC-1049
02.MMHAP63FRA8.seq	WC-761
02.MMHAP64FRA8.seq	WC-1413
02.MMHAP66FLA2.seq	WC-742
02.MMHAP67FRA8.seq	WC-475
02.MMHAP68FRA8.seq	WC-2136
02.MMHAP6FLA2.seq	WC-1511
02.MMHAP76FLA2.seq	WC-1629
02.MMHAP81FRA8.seq	WC-734
02.MMHAP84FLA2.seq	WC-1172
02.MMHAP85FRA8.seq	WC-139
02.MMHAP86FRA8.seq	WC-280
02.MMHAP88FLA2.seq	WC-1918
02.MMHAP90FLA2.seq	WC-1352
02.MMHAP91FRA8.seq	WC-1300
02.MMHAP94FLA2.seq	WC-518
02.MMHAP94FRA8.seq	WC-1852
02.MMHAP95FRA8.seq	WC-1211
02.MMHAP9FLA2.seq	WC-2040
02.MMHAP9FRA8.seq	WC-2047
02.mHAa3d2.seq	WC-1803
03.E1_9_6_95.seq	WC-652
03.MHAa60T.seq	WC-224
03.MHAa75a3.seq	WC-1441
03.MHAa89e3.seq	WC-383
03.MHAa92e3.seq	WC-1835
03.MHAa96a3.seq	WC-1428
03.MMHAP11FLA3.seq	WC-1616
03.MMHAP12FRA9.seq	WC-45
03.MMHAP15FLA3.seq	WC-749
03.MMHAP15FRA9.seq	WC-911
03.MMHAP16FRA9.seq	WC-130
03.MMHAP23FLA3.seq	WC-1466
03.MMHAP24FLA3.seq	WC-1082
03.MMHAP26FRA9.seq	WC-338
03.MMHAP27FRA9.seq	WC-1267
03.MMHAP28FRA9.seq	WC-368
03.MMHAP29FLA3.seq	WC-4
03.MMHAP34FRA9.seq	WC-151
03.MMHAP35FLA3.seq	WC-82
03.MMHAP35FRA9.seq	WC-714
03.MMHAP36FLA3.seq	WC-2071
03.MMHAP37FLA3.seq	WC-703
03.MMHAP38FRA9.seq	WC-1857
03.MMHAP4FRA9.seq	WC-1195
03.MMHAP50FLA3.seq	WC-1968
03.MMHAP54FLA3.seq	WC-840
03.MMHAP54FRA9.seq	WC-1478
03.MMHAP61FLA3.seq	WC-1424
03.MMHAP62FLA3.seq	WC-1189
03.MMHAP63FLA3.seq	WC-2120
03.MMHAP64FLA3.seq	WC-1573
03.MMHAP64FRA9.seq	WC-1101
03.MMHAP6FLA3.seq	WC-1921
03.MMHAP70FLA3.seq	WC-1699
03.MMHAP70FRA9.seq	WC-703
03.MMHAP76FLA3.seq	WC-1399
03.MMHAP81FRA9.seq	WC-1299
03.MMHAP83FLA3.seq	WC-494
03.MMHAP83FRA9.seq	WC-619
03.MMHAP85FLA3.seq	WC-771
03.MMHAP86FRA9.seq	WC-609
03.MMHAP88FRA9.seq	WC-2097
03.MMHAP8FRA9.seq	WC-296
03.MMHAP94FLA3.seq	WC-1348
03.MMHAP94FRA9.seq	WC-1421
03.MMHAP95FRA9.seq	WC-505
03.MMHAP9FLA3.seq	WC-1256
03.mHAa9f3.seq	WC-2071
03.mhaa80e.seq	WC-471
04.MHAa43c4.seq	WC-1043
04.MHAa63a4.seq	WC-80
04.MHAa92e4.seq	WC-27
04.MHAa93e4.seq	WC-1692
04.MHAa98e4.seq	WC-727
04.MMHAP12FLB1.seq	WC-362
04.MMHAP12FRB7.seq	WC-176
04.MMHAP14FLB1.seq	WC-471
04.MMHAP15FLB1.seq	WC-2029
04.MMHAP16FLB1.seq	WC-1308
04.MMHAP17FB1.seq	WC-320
04.MMHAP18FLB1.seq	WC-186
04.MMHAP20FRB7.seq	WC-1585
04.MMHAP24FLB1.seq	WC-520
04.MMHAP25FLB1.seq	WC-1692
04.MMHAP27FLB1.seq	WC-1294
04.MMHAP27FRB7.seq	WC-1509
04.MMHAP28FRB7.seq	WC-1739
04.MMHAP31FLB1.seq	WC-1049
04.MMHAP35FLB1.seq	WC-872
04.MMHAP36FRB7.seq	WC-1753
04.MMHAP37FLB1.seq	WC-1340
04.MMHAP38FLB1.seq	WC-23
04.MMHAP3FLB1.seq	WC-1211
04.MMHAP54FLB1.seq	WC-1941
04.MMHAP58FRB7.seq	WC-1731
04.MMHAP59FLB1.seq	WC-1909
04.MMHAP59FRB7.seq	WC-1259
04.MMHAP63FLB1.seq	WC-1069
04.MMHAP64FRB7.seq	WC-1992
04.MMHAP66FLB1.seq	WC-1089
04.MMHAP67FLB1.seq	WC-688
04.MMHAP69FLB1.seq	WC-1172
04.MMHAP6FLB1.seq	WC-1654
04.MMHAP70FLB1.seq	WC-182
04.MMHAP71FRB7.seq	WC-498
04.MMHAP75FRB7.seq	WC-701
04.MMHAP76FLB1.seq	WC-1555
04.MMHAP76FRB7.seq	WC-1871
04.MMHAP7FLB1.seq	WC-1079
04.MMHAP80FLB1.seq	WC-1768
04.MMHAP81FRB7.seq	WC-558
04.MMHAP88FRB7.seq	WC-603
04.MMHAP90FLB1.seq	WC-1442
04.MMHAP90FRB7.seq	WC-1353
04.MMHAP91FLB1.seq	WC-434
04.MMHAP9FLB1.seq	WC-714
04.MMHAP9FRB7.seq	WC-845
05.MHAa56e5.seq	WC-980
05.MHAa63a5.seq	WC-1501
05.MMHAP12FLB2.seq	WC-1406
05.MMHAP12FRB8.seq	WC-1267
05.MMHAP14FLB2.seq	WC-1094
05.MMHAP17FRB8.seq	WC-141
05.MMHAP18FLB2.seq	WC-998
05.MMHAP19FRB8.seq	WC-1857
05.MMHAP20FRB8.seq	WC-174
05.MMHAP25FLB2.seq	WC-25
05.MMHAP25FRB8.seq	WC-141
05.MMHAP26FLB2.seq	WC-694
05.MMHAP27FRB8.seq	WC-593
05.MMHAP28FLB2.seq	WC-141
05.MMHAP28FRB8.seq	WC-263
05.MMHAP29FLB2.seq	WC-774
05.MMHAP31FLB2.seq	WC-1003
05.MMHAP33FRB8.seq	WC-565
05.MMHAP34FRB8.seq	WC-872
05.MMHAP36FRB8.seq	WC-443
05.MMHAP38FLB2.seq	WC-1318
05.MMHAP3FRB8.seq	WC-1691
05.MMHAP40FRB8.seq	WC-2057
05.MMHAP42FRB8.seq	WC-1585
05.MMHAP4FRB8.seq	WC-23
05.MMHAP51FRB8.seq	WC-300
05.MMHAP54FLB2.seq	WC-481
05.MMHAP54FRB8.seq	WC-1487
05.MMHAP56FRB8.seq	WC-652
05.MMHAP57FRB8.seq	WC-1532
05.MMHAP58FLB2.seq	WC-1448
05.MMHAP58FRB8.seq	WC-706
05.MMHAP59FLB2.seq	WC-743
05.MMHAP5FLB2.seq	WC-1952
05.MMHAP5FRB8.seq	WC-1455
05.MMHAP61FRB8.seq	WC-2023
05.MMHAP62FRB8.seq	WC-1020
05.MMHAP63FLB2.seq	WC-1354
05.MMHAP64FLB2.seq	WC-1388
05.MMHAP64FRB8.seq	WC-281
05.MMHAP66FLB2.seq	WC-2079
05.MMHAP66FRB8.seq	WC-1439
05.MMHAP6FRB8.seq	WC-2128
05.MMHAP71FRB8.seq	WC-1356
05.MMHAP76FLB2.seq	WC-1698
05.MMHAP7FLB2.seq	WC-973
05.MMHAP80FLB2.seq	WC-282
05.MMHAP81FLB2.seq	WC-174
05.MMHAP82FRB8.seq	WC-1572
05.MMHAP84FLB2.seq	WC-1681
05.MMHAP84FRB8.seq	WC-445
05.MMHAP85FRB8.seq	WC-1884
05.MMHAP90FLB2.seq	WC-51
05.MMHAP91FLB2.seq	WC-486
05.MMHAP91FRB8.seq	WC-229
05.MMHAP95FRB8.seq	WC-1545
05.MMHAP97FRB8.seq	WC-473
05.MMHAP9FLB2.seq	WC-1498
05.MMHAP9FRB8.seq	WC-1079
05.mHAa7h5.seq	WC-1646
06.MHAa63a6.seq	WC-1117
06.MHAa81T_M13Rev.seq	WC-2086
06.MMHAP10FRB9.seq	WC-1356
06.MMHAP14FLB3.seq	WC-374
06.MMHAP14FRB9.seq	WC-1340
06.MMHAP15FLB3.seq	WC-1038
06.MMHAP15FRB9.seq	WC-1352
06.MMHAP16FLB3.seq	WC-1106
06.MMHAP16FRB9.seq	WC-881
06.MMHAP17FRB9.seq	WC-1978
06.MMHAP23FLB3.seq	WC-1408
06.MMHAP24FRB9.seq	WC-45
06.MMHAP25FLB3.seq	WC-1880
06.MMHAP25FRB9.seq	WC-1190
06.MMHAP31FLB3.seq	WC-139
06.MMHAP32FLB3.seq	WC-2049
06.MMHAP34FLB3.seq	WC-998
06.MMHAP38FLB3.seq	WC-1881
06.MMHAP47FLB3.seq	WC-1685
06.MMHAP48FLB3.seq	WC-949
06.MMHAP50FLB3.seq	WC-357
06.MMHAP53FLB3.seq	WC-1154
06.MMHAP53FRB9.seq	WC-1424
06.MMHAP54FRB9.seq	WC-217
06.MMHAP59FLB3.seq	WC-1316
06.MMHAP59FRB9.seq	WC-1367
06.MMHAP62FLB3.seq	WC-1923
06.MMHAP63FRB9.seq	WC-2080
06.MMHAP64FLB3.seq	WC-503
06.MMHAP65FRB9.seq	WC-1788
06.MMHAP66FLB3.seq	WC-1796
06.MMHAP66FRB9.seq	WC-491
06.MMHAP67FLB3.seq	WC-1418
06.MMHAP67FRB9.seq	WC-1427
06.MMHAP69FLB3.seq	WC-300
06.MMHAP71FLB3.seq	WC-607
06.MMHAP71FRB9.seq	WC-1277
06.MMHAP76FRB9.seq	WC-1387
06.MMHAP81FLB3.seq	WC-631
06.MMHAP82FLB3.seq	WC-1942
06.MMHAP83FLB3.seq	WC-1579
06.MMHAP83FRB9.seq	WC-501
06.MMHAP84FRB9.seq	WC-217
06.MMHAP85FRB9.seq	WC-641
06.MMHAP86FLB3.seq	WC-1995
06.MMHAP89FLB3.seq	WC-635
06.MMHAP91FLB3.seq	WC-453
06.MMHAP95FRB9.seq	WC-345
06.MMHAP9FLB3.seq	WC-618
06.MMHAP9FRB9.seq	WC-1464
06.mHAa7h6.seq	WC-982
07.MHAa43c7.seq	WC-1648
07.MHAa50e7.seq	WC-1321
07.MHAa52e7.seq	WC-717
07.MHAa59a7.seq	WC-1933
07.MHAa64e7.seq	WC-660
07.MHAa92e7.seq	WC-1187
07.MHAa93e7.seq	WC-1409
07.MMHAP10FC1.seq	WC-787
07.MMHAP12FRC7.seq	WC-2018
07.MMHAP16FRC7.seq	WC-1787
07.MMHAP17FC1.seq	WC-1640
07.MMHAP24FLC1.seq	WC-1578
07.MMHAP27FLC1.seq	WC-1595
07.MMHAP28FRC7.seq	WC-1178
07.MMHAP29FLC1.seq	WC-1544
07.MMHAP31FLC1.seq	WC-463
07.MMHAP34FLC1.seq	WC-735
07.MMHAP35FLC1.seq	WC-1960
07.MMHAP37FRC7.seq	WC-475
07.MMHAP38FLC1.seq	WC-1618
07.MMHAP50FLC1.seq	WC-955
07.MMHAP53FLC1.seq	WC-669
07.MMHAP53FRC7.seq	WC-871
07.MMHAP54FLC1.seq	WC-2029
07.MMHAP54FRC7.seq	WC-2104
07.MMHAP57FRC7.seq	WC-1431
07.MMHAP61FLC1.seq	WC-1077
07.MMHAP61FRC7.seq	WC-379
07.MMHAP62FRC7.seq	WC-604
07.MMHAP63FLC1.seq	WC-1819
07.MMHAP63FRC7.seq	WC-1836
07.MMHAP64FLC1.seq	WC-548
07.MMHAP66FLC1.seq	WC-1352
07.MMHAP67FLC1.seq	WC-1418
07.MMHAP6FLC1.seq	WC-1836
07.MMHAP6FRC7.seq	WC-1118
07.MMHAP71FLC1.seq	WC-282
07.MMHAP75FRC7.seq	WC-1841
07.MMHAP84FLC1.seq	WC-977
07.MMHAP84FRC7.seq	WC-988
07.MMHAP85FLC1.seq	WC-1652
07.MMHAP85FRC7.seq	WC-1803
07.MMHAP86FLC1.seq	WC-1489
07.MMHAP86FRC7.seq	WC-321
07.MMHAP88FRC7.seq	WC-1090
07.MMHAP90FRC7.seq	WC-1826
07.MMHAP97FRC7.seq	WC-1082
07.MMHAP9FLC1.seq	WC-276
07.MMHAP9FRC7.seq	WC-1279
07.mHAa3d7.seq	WC-2090
07.mHAa9f7.seq	WC-2086
08.E1_9_6_95.seq	WC-1698
08.MHAa26T.seq	WC-2044
08.MHAa46e8.seq	WC-1259
08.MHAa61B.seq	WC-1048
08.MHAa89e8.seq	WC-311
08.MHAa92a8.seq	WC-1478
08.MHAa96a8.seq	WC-1635
08.MMHAP10FC2.seq	WC-604
08.MMHAP12FLC2.seq	WC-1998
08.MMHAP12FRC8.seq	WC-1644
08.MMHAP16FLC2.seq	WC-1008
08.MMHAP16FRC8.seq	WC-1868
08.MMHAP17FRC8.seq	WC-383
08.MMHAP18FRC8.seq	WC-1596
08.MMHAP23FRC8.seq	WC-1987
08.MMHAP24FRC8.seq	WC-20
08.MMHAP25FLC2.seq	WC-1353
08.MMHAP27FRC8.seq	WC-1447
08.MMHAP28FRC8.seq	WC-256
08.MMHAP29FLC2.seq	WC-673
08.MMHAP29FRC8.seq	WC-224
08.MMHAP30FLC2.seq	WC-1158
08.MMHAP31FLC2.seq	WC-256
08.MMHAP34FLC2.seq	WC-1082
08.MMHAP36FLC2.seq	WC-731
08.MMHAP37FRC8.seq	WC-972
08.MMHAP38FRC8.seq	WC-1352
08.MMHAP42FLC2.seq	WC-2029
